??????????,season,track,episode
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 12 - Mercenaries"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 13 - Curtana Original"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 14 - Heroes"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 15 - Spark Signal"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 16 - The Governing Board"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 17 - DRAGON"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 18 - The Alliance of Independent Nations"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 19 - Misaka Worst"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 20 - A Reason to Protect"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 21 - The Star of B'Tselem"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 22 - Angel Power (Gabriel)"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 23 - Fuse=KAZAKIRI"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 24 - List of Prohibited Books (Index)"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 25 - Wings"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 26 - Son of God"
